Record Id,Accounting Entry Line Name,Account.id,Account,Debit,Credit,Line No,Line Type,Is IRPF Line,Is Reimbursable,Supplier Invoice.id,Supplier Invoice,Accounting Entry.id,Accounting Entry,Account Role,Booking Service.id,Booking Service
zcrm_616617000164589237,INV-TEST-ACC-ODB057-PAY-616617000164356163 | 3,zcrm_616617000164276190,5720005,20,0,3,Payment,false,true,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164673289,INV-TEST-ACC-ODB057-PAY-616617000164356163,Adjustment,,
zcrm_616617000164629325,INV-TEST-ACC-ODB057-PAY-616617000164356163 | 2,zcrm_616617000164350015,4109014,10.41,0,2,Supplier,true,false,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164673289,INV-TEST-ACC-ODB057-PAY-616617000164356163,Supplier Payable,,
zcrm_616617000164636257,INV-TEST-ACC-ODB057-REG | 2,zcrm_616617000160971004,6000000,20,0,2,Reimbursable,false,true,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164655236,INV-TEST-ACC-ODB057-REG,Reimbursable Expense,,
zcrm_616617000164639217,INV-TEST-ACC-ODB057-REG | 3,zcrm_616617000164276239,4751001,0,10.413,3,IRPF,true,false,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164655236,INV-TEST-ACC-ODB057-REG,IRPF Withholding,,
zcrm_616617000164649322,INV-TEST-ACC-ODB057-PAY-616617000164356163 | 1,zcrm_616617000164276190,5720005,0,10.41,1,Payment,true,false,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164673289,INV-TEST-ACC-ODB057-PAY-616617000164356163,Adjustment,,
zcrm_616617000164650306,INV-TEST-ACC-ODB057-REG | 1,zcrm_616617000164356018,6000001,70,0,1,Expense,false,false,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164655236,INV-TEST-ACC-ODB057-REG,Base Expense,,
zcrm_616617000164655238,INV-TEST-ACC-ODB057-PAY-616617000164356163 | 5,zcrm_616617000164276190,5720005,140,0,5,Payment,false,false,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164673289,INV-TEST-ACC-ODB057-PAY-616617000164356163,Adjustment,,
zcrm_616617000164667282,INV-TEST-ACC-ODB057-PAY-616617000164356163 | 4,zcrm_616617000164350015,4109014,0,20,4,Supplier,false,true,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164673289,INV-TEST-ACC-ODB057-PAY-616617000164356163,Supplier Payable,,
zcrm_616617000164670295,INV-TEST-ACC-ODB057-PAY-616617000164356163 | 6,zcrm_616617000164350015,4109014,0,140,6,Supplier,false,false,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164673289,INV-TEST-ACC-ODB057-PAY-616617000164356163,Supplier Payable,,
zcrm_616617000164674256,INV-TEST-ACC-ODB057-REG | 5,zcrm_616617000164350015,4109014,0,90.003,5,Supplier,false,false,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164655236,INV-TEST-ACC-ODB057-REG,Supplier Payable,,
zcrm_616617000164684300,INV-TEST-ACC-ODB057-REG | 4,zcrm_616617000164350015,4109014,10.413,0,4,IRPF,true,false,zcrm_616617000164356150,TEST-ACC,zcrm_616617000164655236,INV-TEST-ACC-ODB057-REG,Supplier Payable,,
